"indicator","pop_size","pop_label","method","method_type","estimate","se","ci_lower","ci_upper","uncertainty_method","convergence_info","error_msg","indicator_clean","method_clean","uncertainty_clean","estimate_pct","ci_lower_pct","ci_upper_pct","se_pct","estimate_with_ci"
"threats_abuse_rds",980000,"980K","posteriorsize","bayesian",0.5722487861393,0.0393714384732784,0.495080766731674,0.649416805546925,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Threats and abuse","posteriorsize()","Bayesian CI",57.22487861393,49.5080766731674,64.9416805546926,3.93714384732784,"57.2% (49.5–64.9)"
"threats_abuse_rds",1740000,"1.74M","posteriorsize","bayesian",0.5722487861393,0.0399459206793213,0.49395478160783,0.65054279067077,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Threats and abuse","posteriorsize()","Bayesian CI",57.22487861393,49.395478160783,65.054279067077,3.99459206793213,"57.2% (49.4–65.1)"
"excessive_hours_rds",50000,"50K","posteriorsize","bayesian",0.837284529663637,0.0578330378055276,0.723931775564803,0.950637283762471,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Excessive working hours","posteriorsize()","Bayesian CI",83.7284529663637,72.3931775564803,95.0637283762471,5.78330378055276,"83.7% (72.4–95.1)"
"excessive_hours_rds",1e+05,"100K","posteriorsize","bayesian",0.837284529663637,0.0592227900696579,0.721207861127108,0.953361198200166,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Excessive working hours","posteriorsize()","Bayesian CI",83.7284529663637,72.1207861127108,95.3361198200166,5.92227900696579,"83.7% (72.1–95.3)"
"excessive_hours_rds",980000,"980K","posteriorsize","bayesian",0.837284529663637,0.0576062320143658,0.72437631491548,0.950192744411794,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Excessive working hours","posteriorsize()","Bayesian CI",83.7284529663637,72.437631491548,95.0192744411794,5.76062320143658,"83.7% (72.4–95.0)"
"excessive_hours_rds",1740000,"1.74M","posteriorsize","bayesian",0.837284529663637,0.0584467843673589,0.722728832303614,0.95184022702366,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Excessive working hours","posteriorsize()","Bayesian CI",83.7284529663637,72.2728832303614,95.184022702366,5.84467843673589,"83.7% (72.3–95.2)"
"access_to_help_rds",50000,"50K","posteriorsize","bayesian",0.593632888454803,0.0410034964988583,0.513266035317041,0.673999741592565,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Limited access to help","posteriorsize()","Bayesian CI",59.3632888454803,51.3266035317041,67.3999741592565,4.10034964988583,"59.4% (51.3–67.4)"
"access_to_help_rds",1e+05,"100K","posteriorsize","bayesian",0.593632888454803,0.0419888277949276,0.511334785976745,0.675930990932861,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Limited access to help","posteriorsize()","Bayesian CI",59.3632888454803,51.1334785976745,67.5930990932861,4.19888277949276,"59.4% (51.1–67.6)"
"access_to_help_rds",980000,"980K","posteriorsize","bayesian",0.593632888454803,0.040842691692182,0.513581212738126,0.673684564171479,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Limited access to help","posteriorsize()","Bayesian CI",59.3632888454803,51.3581212738126,67.368456417148,4.0842691692182,"59.4% (51.4–67.4)"
"access_to_help_rds",1740000,"1.74M","posteriorsize","bayesian",0.593632888454803,0.041438641460184,0.512413151192842,0.674852625716764,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Limited access to help","posteriorsize()","Bayesian CI",59.3632888454803,51.2413151192842,67.4852625716764,4.1438641460184,"59.4% (51.2–67.5)"
"composite_risk",50000,"50K","posteriorsize","bayesian",0.369097054893396,0.0254943250153374,0.319128177863334,0.419065931923457,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Composite risk score","posteriorsize()","Bayesian CI",36.9097054893396,31.9128177863334,41.9065931923457,2.54943250153374,"36.9% (31.9–41.9)"
"composite_risk",1e+05,"100K","posteriorsize","bayesian",0.369097054893396,0.0261069643864816,0.317927404695892,0.420266705090899,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Composite risk score","posteriorsize()","Bayesian CI",36.9097054893396,31.7927404695892,42.0266705090899,2.61069643864816,"36.9% (31.8–42.0)"
"composite_risk",980000,"980K","posteriorsize","bayesian",0.369097054893396,0.0253943430539076,0.319324142507737,0.418869967279054,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Composite risk score","posteriorsize()","Bayesian CI",36.9097054893396,31.9324142507737,41.8869967279054,2.53943430539076,"36.9% (31.9–41.9)"
"composite_risk",1740000,"1.74M","posteriorsize","bayesian",0.369097054893396,0.0257648806513216,0.318597888816805,0.419596220969986,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Composite risk score","posteriorsize()","Bayesian CI",36.9097054893396,31.8597888816805,41.9596220969986,2.57648806513216,"36.9% (31.9–42.0)"
"whether_exploitation",50000,"50K","posteriorsize","bayesian",0.972452234141699,0.0671693609862588,0.840800286608632,1,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Overall exploitation indicator","posteriorsize()","Bayesian CI",97.2452234141699,84.0800286608632,100,6.71693609862588,"97.2% (84.1–100.0)"
"whether_exploitation",1e+05,"100K","posteriorsize","bayesian",0.972452234141699,0.0687834690299125,0.837636634843071,1,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Overall exploitation indicator","posteriorsize()","Bayesian CI",97.2452234141699,83.7636634843071,100,6.87834690299125,"97.2% (83.8–100.0)"
"whether_exploitation",980000,"980K","posteriorsize","bayesian",0.972452234141699,0.0669059406189671,0.841316590528524,1,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Overall exploitation indicator","posteriorsize()","Bayesian CI",97.2452234141699,84.1316590528524,100,6.69059406189671,"97.2% (84.1–100.0)"
"whether_exploitation",1740000,"1.74M","posteriorsize","bayesian",0.972452234141699,0.0678821882201375,0.83940314523023,1,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Overall exploitation indicator","posteriorsize()","Bayesian CI",97.2452234141699,83.940314523023,100,6.78821882201375,"97.2% (83.9–100.0)"
