"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YJGVZH7Z","journalArticle","1994","Frank, O.; Snijders, T.","Estimating the size of hidden populations using snowball sampling","Journal of Official Statistics-Stockholm","","","","","","1994","2023-11-25 17:15:09","2023-11-25 17:19:34","","53–53","","","10","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIPLKJG9","journalArticle","2012","Gajic, A.; Cameron, D.; Hurley, J.","The cost-effectiveness of cash versus lottery incentives for a web-based, stated-preference community survey","The European Journal of Health Economics","","","","","","2012","2023-11-25 17:15:09","2023-11-25 17:19:57","","789–799","","6","13","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGWMECHJ","journalArticle","2011","Goodman, L.A.","Comment: On respondent-driven sampling and snowball sampling in hard-to-reach populations and snowball sampling not in hard-to-reach populations","Sociological Methodology","","","","","","2011","2023-11-25 17:15:09","2023-11-25 17:19:34","","347–353","","1","41","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LCI3YX2S","document","2016","Gower, M.","Calls to change overseas domestic worker visa conditions","","","","","https://researchbriefings.files.parliament.uk/documents/SN04786/SN04786.pdf","","2016","2023-11-25 17:15:09","2023-11-25 17:19:25","","","","","","","","","","","","","","","en","","","","","","","","Briefing paper Number 4786 House of Commons Library Available at:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IJKP3SWQ","journalArticle","1997","Heckathorn, D.D.","Respondent-driven sampling: A new approach to the study of hidden populations","Social Problems","","","","","","1997","2023-11-25 17:15:09","2023-11-25 17:19:57","","174–199","","2","44","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H2GV8HVR","journalArticle","2002","Heckathorn, D.D.","Respondent-driven sampling II: deriving valid population estimates from chain-referral samples of hidden populations","Social problems","","","","","","2002","2023-11-25 17:15:09","2023-11-25 17:19:57","","11–34","","1","49","","","","","","","","","","pt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K22UR9U3","journalArticle","2011","Heckathorn, D.D.","Comment: Snowball versus respondent-driven sampling","Sociological Methodology","","","","","","2011","2023-11-25 17:15:09","2023-11-25 17:19:34","","355–366","","1","41","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QYJJTEGG","document","2023","Office, Home","Why do people come to the UK to work?","","","","","https://www.gov.uk/government/statistics/immigration-system-statistics-year-ending-june-2023/why-do-people-come-to-the-uk-to-work","","2023","2023-11-25 17:15:09","2023-11-25 17:19:58","","","","","","","","","","","","","","","en","","","","","","","","Available at:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7JLVHFKH","document","2011","I.L.O.","ILO indicators of forced labour","","","","","https://www.ilo.org/global/topics/forced-labour/publications/WCMS_203832/lang--en/index.htm","","2011","2023-11-25 17:15:09","2023-11-25 17:24:07","","","","","","","","","","","","","","","en","","","","","","","Citation Key: ILO11-indicators","Available at:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAM735BJ","document","2011","I.L.O.","C189-domestic workers convention 2011","","","","","https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C189.","","2011","2023-11-25 17:15:09","2023-11-25 17:24:42","","","","","","","","","","","","","","","en","","","","","","","Citation Key: ILO11-c189domestic","No. 189). Available at: .","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7KX3SLUE","journalArticle","2020","Jordan, L.; Chui, C.H.K.; Larmar, S.; O’Leary, P.","Overcoming methodological challenges in prevalence studies in developing contexts with vulnerable children","International Social Work","","","","","","2020","2023-11-25 17:15:09","2023-11-25 17:19:57","","371–385","","3","63","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z6WQTV6B","document","2008","Kalayaan","The new bonded labour?","","","","","http://www.kalayaan.org.uk/documents/Kalayaan%20Oxfam%20report.pdf","","2008","2023-11-25 17:15:09","2023-11-25 17:19:57","","","","","","","","","","","","","","","en","","","","","","","","Accessed 24 November 2023).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQGAYP6P","journalArticle","2011","Laguilles, J.S.; Williams, E.A.; Saunders, D.B.","Can lottery incentives boost web survey response rates? Findings from four experiments","Research in Higher Education","","","","","","2011","2023-11-25 17:15:09","2023-11-25 17:19:34","","537–553","","5","52","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8IC8GU66","document","2023","Service, Latin American Women’s Rights","Behind closed doors: Experiences of Latin American domestic workers in the UK","","","","","https://lawrs.org.uk/wp-content/uploads/2023/08/Behind-closed-doors_domestic_work.pdf","","2023","2023-11-25 17:15:09","2023-11-25 17:19:44","","","","","","","","","","","","","","","en","","","","","","","","Available at:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44NFTLFC","bookSection","2016","Mantouvalou, V.","Modern slavery? The UK visa system and the exploitation of migrant domestic workers","British politics and policy at LSE","","","","https://blogs.lse.ac.uk/politicsandpolicy/exploitation-of-migrant-domestic-workers-in-the-uk/.","","2016","2023-11-25 17:15:09","2023-11-25 17:19:56","","","","","","","","","","","","","","","en","","","","","","","","Available at:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NQJTXGZ","journalArticle","2011","McCreesh, N.; Johnston, L.G.; Copas, A.","Evaluation of the role of location and distance in recruitment in respondent-driven sampling","International Journal of Health Geography","","","","","","2011","2023-11-25 17:15:10","2023-11-25 17:19:35","","","","56","10","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QGYXTGMG","journalArticle","2013","McCreesh, N.; Copas, A.; Seeley, J.; Johnston, L.G.; Sonnenberg, P.; Hayes, R.J.","Respondent driven sampling: Determinants of recruitment and a method to improve point estimation","PLoS ONE","","","","","","2013","2023-11-25 17:15:10","2023-11-25 17:19:57","","","","10","8","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSWXJXS5","journalArticle","2015","Platt, L.; Luthra, R.; Frere-Smith, T.","Adapting chain referral methods to sample new migrants: Possibilities and limitations","Demographic Research","","","","","","2015","2023-11-25 17:15:10","2023-11-25 17:19:44","","665–700","","","33","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IJXDNHDY","journalArticle","2014","Robinson, O.C.","Sampling in interview-based qualitative research: A theoretical and practical guide","Qualitative research in psychology","","","","","","2014","2023-11-25 17:15:10","2023-11-25 17:19:57","","25–41","","1","11","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2A3NPLTV","journalArticle","2012","Schwitters, A.; Swaminathan, M.; Serwadda, D.","Prevalence of rape and client-initiated gender-based violence among female sex workers: Kampala, uganda","AIDS Behaviour","","","","","","2012","2023-11-25 17:15:10","2023-11-25 17:19:57","","68–76","","Supply Nr 1","19","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UJMZPPRG","journalArticle","2009","Semaan, S.; Santibanez, S.; Garfein, R.S.; Heckathorn, D.D.; Jarlais, D.C.","Ethical and regulatory considerations in HIV prevention studies employing respondent-driven sampling","International Journal of Drug Policy","","","","","","2009","2023-11-25 17:15:10","2023-11-25 17:19:34","","14–27","","1","20","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YH77IMK9","journalArticle","2010","Semaan, S.","Time-space sampling and respondent-driven sampling with hard-to-reach populations","Methodological Innovations Online","","","","","","2010","2023-11-25 17:15:10","2023-11-25 17:19:58","","60–75","","2","5","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GZDDR2TE","journalArticle","2006","Singer, E.; Bossarte, R.M.","Incentives for survey participation: when are they “coercive”?","American journal of preventive medicine","","","","","","2006","2023-11-25 17:15:10","2023-11-25 17:19:35","","411–418","","5","31","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UX7UIVUG","document","2023","Strauss, D.; Cocco, F.","Britain after Brexit: The surprising surge in skilled migrants","","","","","","","2023","2023-11-25 17:15:10","2023-11-25 17:19:45","","","","","","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SXIB8N4K","document","2020","Thompson, S.","New estimates for network sampling","","","","","","","2020","2023-11-25 17:15:10","2023-11-25 17:19:57","","","","","","","","","","","","","","","en","","","","","","","tex.arxiv: 2002.01350","arXiv preprint arXiv:2002.01350.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VWRKTLB3","journalArticle","2021","Tyldum, G.","Surveying migrant populations with respondent-driven sampling. Experiences from surveys of east-west migration in Europe","International Journal of Social Research Methodology","","","","","","2021","2023-11-25 17:15:10","2023-11-25 17:19:57","","341–35","","3","24","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PIXRH9XX","journalArticle","2005","Wang, J.; Carlson, R.G.; Falck, R.S.; Siegal, H.A.; Rahman, A.; Li, L.","Respondent-driven sampling to recruit MDMA users: a methodological assessment","Drug and alcohol dependence","","","","","","2005","2023-11-25 17:15:10","2023-11-25 17:19:57","","147–157","","2","78","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P4YLFLKD","journalArticle","2008","Wejnert, C.; Heckathorn, D.D.","Web-based network sampling: efficiency and efficacy of respondent-driven sampling for online research","Sociological Methods & Research","","","","","","2008","2023-11-25 17:15:10","2023-11-25 17:19:58","","105–134","","1","37","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJ8C8KE8","journalArticle","2012","Zhang, S.X.","Measuring labour trafficking: a research note","Crime, Law and Social Change","","","","","","2012","2023-11-25 17:15:10","2023-11-25 17:19:35","","469–482","","","58","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JWTZM4Y7","journalArticle","2019","Zhang, S.X.; Dank, M.; Vincent, K.; Narayanan, P.; Bharadwaj, S.; Balasubramaniam, S.M.","Victims without a voice: Measuring worst forms of child labor in the Indian State of Bihar","Victims & Offenders","","","","","","2019","2023-11-25 17:15:10","2023-11-25 17:19:58","","832–858","","7","14","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
