start	end	text
712000	717000	From we've got lower and upper limits, haven't we?
717000	718000	Yeah, exactly.
718000	719000	Yeah.
719000	720000	But perhaps is the most.
720000	722000	Yep. I think that's a great idea.
722000	724000	Conservative approach.
724000	731000	Yes. I think you're 100% right. Yeah. And like I said, the, the, I don't know what I'm sorry. I don't know where the 1.7 million came from.
731000	745000	The, it's really, it's very insensitive, at least when the numbers get big. So like once you hit a million, the results just don't change at all.
745000	757000	I haven't played with things as small as 50, 51,000. But I will. And I think you're right. I think the range, I think we say, you know, here's the number that we're using site, site, site.
758000	775000	In the appendix, here's the robot, here's the sensitivity analysis and how things change. And I'm curious to see with these new numbers what happens. But like I said, it was like from 900 to a million to 1.5 million to anything around a million or higher, like nothing changes.
775000	786000	So, so I, and I don't know about the lower. So I'll, but I'll play with this. So I think this is, please don't spend any more time on, I mean, please do save the citation.
786000	788000	We can, we can, you know, site the site the site.
788000	791000	I've got, yeah, I've logged it across in an email to you.
791000	795000	Really? What I've just told you now. So we've got, we've got the link to the numbers.
795000	802000	Good. Okay. Well, I can, I can get, I can get on this starting this afternoon.
802000	811000	Should we meet next week or if, if Selene can get the, well, that's not entirely off.
812000	829000	I can have, I can have everything except the in some polished by next Friday and depending on how our meeting goes on Monday, Selene. Yeah, the in some stuff might take a little longer. I don't know.
829000	838000	But, but, but, but the, just from the, just from this conversation, I can finish off the RDS stuff for sure.
838000	841000	Okay. Would a three o'clock meeting next week be all right?
841000	842000	Sure.
842000	844000	I've got something in for two.
844000	845000	No problem.
845000	846000	Already.
846000	847000	Yeah.
847000	848000	Does that work for you, Selene?
848000	852000	Yeah, as long as it's after afternoon is fine.
852000	854000	Yeah. So we said three.
854000	856000	Yeah, it's fine for me.
856000	859000	I'll send something across.
859000	862000	I also sent a meeting link.
862000	863000	Thank you.
863000	864000	Yeah.
864000	865000	Yeah.
865000	870000	And so how, how do you, how should I prepare for this meeting? What are you?
870000	871000	Yeah.
871000	877000	I think you will have the knowledge already, but I will ask you just some questions, some small questions. Yeah.
877000	878000	And some small questions.
878000	879000	So that's fine.
879000	880000	You can guide me.
880000	881000	Sure.
881000	883000	So you don't need to prepare anything.
883000	884000	Just about that.
884000	885000	Okay. Okay.
885000	886000	He said, he said, okay.
886000	887000	All right.
887000	888000	All right.
888000	889000	Sounds good.
889000	891000	And thanks for, like I said, this was.
891000	893000	This is very helpful for me.
893000	894000	So thanks.
894000	895000	That's great.
895000	896000	Yeah.
896000	898000	No, it's just, it just is tantalizing now, isn't it?
898000	900000	Cause it was, I think we, we get it.
900000	901000	As you say, we're getting close.
901000	902000	So close.
902000	904000	It's really just, just delivering now.
904000	905000	Yeah.
905000	906000	Oh, no, no, no, no.
906000	908000	I didn't mean it critically, Selene.
908000	909000	Not at all.
909000	911000	And in fact, I was, I, no, no, no, no, no, no, no, no.
911000	912000	No, I'm not saying anything critical.
912000	914000	It's just, I, I, I'm with Caroline.
914000	915000	Like we just, let's get it done.
915000	916000	Let's get it done.
916000	918000	We can, we can, we can do it.
918000	919000	So thanks.
919000	920000	Thanks so much.
920000	921000	And I hope you have.
921000	923000	Find some time to enjoy the weekend.
923000	926000	And we'll talk in a week.
926000	927000	Yeah.
927000	928000	Thanks.
928000	929000	Good to see you.
929000	931000	Thanks very much.
931000	933000	Bye everybody.
950000	957000	Thank you.
980000	982000	Thank you.
982000	983000	Thank you.
1010000	1020000	I don't care.
1020000	1022000	Jimmie crack corn and I don't care.
1022000	1024000	Jimmie crack corn and I don't care.
1024000	1028000	Jimmie crack corn but I don't care.
1028000	1030000	Jimmie crack corn and I don't care.
1030000	1032000	My master's gone away.
1032000	1034000	That's the lyric.
1034000	1043000	Okay.
1043000	1049000	Here we go again.
1049000	1051000	Same French guy.
1051000	1061000	All right, sir.
