start	end	text
744440	751240	the fact that it's UK statistics might be quite appropriate for them. We just,
752360	759400	we just might need to sort of cite it in their literature to sort of see what debates they're,
759400	768520	they're talking about. So that's a bit of work for me to do. And then, yeah, see what I mean,
768520	776520	I asked our Dean and Alex to our terms about this. And he suggested research policy
777320	783880	and science. Okay. Neither of those journals I know anything about. I did look at the
785240	793640	aims and scope and to me, didn't seem to fit. But that was his initial suggestion. I don't know
793640	799480	if you know anything about science. Science is absolutely top. But yeah, it's a strange
799480	805720	fit. I wouldn't, I think of them as doing more like biology kinds of stuff. I mean,
805720	811240	basically, what they do is like really, really high profile stuff, regardless of field. And so
811240	819240	maybe that's why he suggested it to the extent that our paper is high profile, maybe. But yeah,
819320	822280	it's said to be as an odd, as an odd suggestion, to be honest with you.
822280	826280	Yeah. I've heard of you. Do you know anything about research policy?
826280	832120	No, but I think policy sounds like a good, a good class of journals to maybe target.
832840	840440	Although we don't really have any policy implications currently, but, but that could,
840440	845080	that could be strengthened perhaps. Yeah, that brings to mind another journal called Millbank
845080	850760	Quarterly. Have you heard of them? I don't know what rating they are, but I would guess they're
851480	857720	A, B, B, S. That's possible from a policy point of view, but maybe British Journal of Management
857720	868360	is better. Excellent. Yeah. So, and then I suppose work, employment and society, if we fail with
868360	874680	BJM, it's like the next, the next tier down, but still respectable. Good. Excellent. Excellent.
874680	878680	That's great. That's great. That's great. That sounds all right. Sounds great for me.
880360	886520	So if I do a bit of a literature search, the problem is I'm going to struggle to do that until
886520	892120	April. That's fine. And I've got seminar weeks coming up. So, and my diary is absolutely chock
892120	899960	block. So the, the beginning of April, I've got a couple of days, I think I could perhaps spend
899960	905960	some time. Actually, I've got one day next week carved out for research as well. So
907560	915800	I can do, make a start on that then. And then, so at least get you sort of some indication and
916760	922520	yeah, but we, I think British Journal of Management does seem to be quite a good fit. And that's,
922520	926520	that's a good journal. Excellent. If we get into that. Let's, let's start there. Let's start there.
926520	935560	I'm going to make a push to get the results done by next week, because like you, the next two to
935560	940360	three weeks are just going to be quite hellish for me in terms of teaching stuff. But I'm,
941320	946760	reading week has been good and I'm making, so I'm going to make a push to try to get, you know,
948520	954680	the results done. Perfect. I mean, it's just been so fantastic having you on the team. It's
954680	959640	really, really, really, really great. It's been fantastic working with the both of you. So thank
959640	965800	you. Yeah, so it'd be fantastic to get, get something drafted and submitted. And yeah,
965800	973720	if we were to aim to do that for the summer, is that too, is that all right? I think by the time
973720	980440	we sort of tidied everything up. Yeah. And then, yeah. Yeah, June, I think it was a good target.
980440	984440	And July, if we get, if we miss, you know, I think that's a, I think it's very feasible as well.
984440	990680	I mean, like I said, the right sort of April, we'll, we'll be able to come back to it and polish and
990680	997320	then, you know, yeah. And I'm hoping next term might be quite as bad as this term. I'll have a
997320	1003560	little bit, it'll be just marking then. Just marking. It just never ends. It just never ends. So
1006040	1012440	but okay, this is great. I'm going to, I'm going to get back to my electrons and I'll, I'll email you
1012440	1019240	with probably just like a draft of results at some point. But you know the, I'm not expecting any
1019240	1025240	surprise. So the RDS stuff is done, done. And then the insum, I don't know. I'm not expecting to be
1025240	1032280	surprised, but we'll see. So we'll see. Fantastic. Really, really good. Was there anything from you
1032280	1039240	Selene that you wanted to share with us? I have two points. First, Dr. Moser, do you have anything
1039240	1046120	that you need from my side other than the sort of references? Is there anything else? That's it.
1047080	1053080	And the second point is I already spoke with Caroline. We started with BigBot. You may have
1053080	1060520	seen my email that I don't want to be included in the publication for this research. What do you
1060520	1068920	think about that? I strongly disagree, but I also completely defer to your, to your PhD advisor, Dr.
1068920	1074360	Randall. I mean, in my opinion, you need, if you want to stay in academia, you need publications.
1074360	1082120	And in the past, you've mentioned sort of wanting to fortify your quantitative
1082920	1090920	credentials. And this would certainly help with that. I mean, I think I understand his point.
1090920	1094840	If I'm not saying this point, it's something like branding, like you don't want to get labeled as
1094840	1100360	something that you're not. But like I said, in my opinion, you just, you need publications
1100360	1106120	and full stop. So, I wasn't from Dr. Randall. I have to say it's not from Dr. Randall. It's from
1106120	1113640	the mentor in the US when I spent time there, because I'm still having meetings with the professor
1113640	1120600	there. And I see he is also the Dean of the department for international relations and politics.
1120600	1129240	And recently we had another meeting and he told me it would be not good if I have a profile
1129240	1135800	that shows that I'm not someone from IR. And I feel a bit worried about that. And I,
1137080	1142680	and I'm trying to be careful. That's why I think it's better if I don't include my name.
1142680	1147560	I mean, it's one, it's your decision. And of course, I completely, I completely respect that. And
1148440	1154200	I'm sorry for assuming presumptuously that it was Dr. Randall. You might run by him then in that
1154200	1161800	case, get his opinion, because he's a proper IR theory person and see what, have you discussed it
1161800	1170200	with him? No, we'll meet on Tuesday. So I will brace this up then. Okay. Because I was saying
1170200	1177160	to Celine, we could perhaps acknowledge him. If he's so sure that he doesn't want to be included
1177160	1184360	in the authorship. But yeah, yeah, I just wanted to perhaps it was an Indian idiosyncrasy of the
1184360	1191960	American tenure system. I mean, that's what I would just caution you to find out, Celine,
1192920	1195960	whether it's in a matter he's talking from an American's perspective.
1196680	1201880	When that the same applies in Europe, if that's where you want to end up.
1202520	1208360	All my supervisors are American. Dr. Mosa, Dr. Randall, also the drug supervisor.
1208360	1208680	Sorry.
1213160	1214360	Other than New Carolina.
1215800	1221640	But for sure. I mean, I think sort of the bottom line is it's your decision, of course. And
1223400	1231400	I think I can speak truthfully to say that like, you've definitely contributed a lot. And I think,
1231400	1238520	yeah, you deserve to be credited in some way. And thank you. I mean, you've done a lot to help
1238520	1244440	with the project. So yeah, thank you. Thank you too that I could learn from both of you. I still
1244440	1251320	have to learn a lot. I understand that. But I will update you both after I speak to my first
1251320	1258920	supervisor, Dr. Randall. Yeah. Okay. Brilliant. Thanks then. Thanks everyone. Have a great week.
1258920	1262440	Do we need another meeting date in or are we happy to do it on email from now on?
1262440	1265320	Yeah, I think email is probably good. April. Okay. Yeah.
1266200	1270680	Right, that's super. Let's stick with that then. Thanks everyone. Thanks very much. Have a great weekend.
1270680	1271480	Bye. Bye. Bye.
